TEAM,PLAYER,TYPE,PRICE(In crore Indian Rupees) ,YEAR
 Kolkata Knight Riders,Pat Cummins,All-Rounder,15.50,2020
 Kings XI Punjab,Glenn Maxwell,All-Rounder,10.75,2020
 Royal Challengers Bangalore,Christopher Morris,All-Rounder,10.00,2020
 Kings XI Punjab,Sheldon Cottrell,Bowler,8.50,2020
 Mumbai Indians,Nathan Coulter-Nile,Bowler,8.00,2020
 Delhi Capitals,Shimron Hetmyer,Batsman,7.75,2020
 Chennai Super Kings,Piyush Chawla,Bowler,6.75,2020
 Chennai Super Kings,Sam Curran,All-Rounder,5.50,2020
 Rajasthan Royals,Jaydev Unadkat,Bowler,8.40,2019
 Kings XI Punjab,Varun Chakaravarthy,All-Rounder,8.40,2019
 Kings XI Punjab,Sam Curran,All-Rounder,7.20,2019
 Delhi Capitals,Colin Ingram,Batsman,6.40,2019
 Kolkata Knight Riders,Carlos Brathwaite,All-Rounder,5.00,2019
 Delhi Capitals,Axar Rajesh Patel,All-Rounder,5.00,2019
 Chennai Super Kings,Mohit Sharma,Bowler,5.00,2019
 Royal Challengers Bangalore,Shivam Dube,All-Rounder,5.00,2019
 Rajasthan Royals,Benjamin Stokes,All-Rounder,12.50,2018
 Rajasthan Royals,Jaydev Unadkat,Bowler,11.50,2018
 Sunrisers Hyderabad,Manish Pandey,Batsman,11.00,2018
 Kings XI Punjab,KL Rahul,Batsman,11.00,2018
 Kolkata Knight Riders,Chris Lynn,Batsman,9.60,2018
 Kolkata Knight Riders,Mitchell Starc,Bowler,9.40,2018
 Delhi Daredevils,Glenn Maxwell,All-Rounder,9.00,2018
 Sunrisers Hyderabad,Rashid Khan Arman,Bowler,9.00,2018
 Rising Pune Supergiant,Benjamin Stokes,All-Rounder,14.50,2017
 Royal Challengers Bangalore,Tymal Mills,Bowler,12.00,2017
 Kolkata Knight Riders,Trent Boult,Bowler,5.00,2017
 Delhi Daredevils,Kagiso Rabada,Bowler,5.00,2017
 Delhi Daredevils,Patrick Cummins,Bowler,4.50,2017
 Kolkata Knight Riders,Chris Woakes,All-Rounder,4.20,2017
 Sunrisers Hyderabad,Rashid Khan Arman,Bowler,4.00,2017
 Kolkata Knight Riders,Nathan Coulter-Nile,Bowler,3.50,2017
 Royal Challengers Bangalore,Shane Watson,All-Rounder,9.50,2016
 Delhi Daredevils,Pawan Negi,All-Rounder,8.50,2016
 Delhi Daredevils,Christopher Morris,All-Rounder,7.00,2016
 Sunrisers Hyderabad,Yuvraj Singh,All-Rounder,7.00,2016
 Kings XI Punjab,Mohit Sharma,Bowler,6.50,2016
 Sunrisers Hyderabad,Ashish Nehra,Bowler,5.50,2016
 Rising Pune Supergiants,Mitchell Marsh,All-Rounder,4.80,2016
 Rising Pune Supergiants,M. Ashwin,Bowler,4.50,2016
 Delhi Daredevils,Yuvraj Singh,Batsman,16.00,2015
 Royal Challengers Bangalore,Dinesh Karthik,Wicket Keeper,10.50,2015
 Delhi Daredevils,Angelo Mathews,All-Rounder,7.50,2015
 Delhi Daredevils,Zaheer Khan,Bowler,4.00,2015
 Sunrisers Hyderabad,Trent Boult,Bowler,3.80,2015
 Delhi Daredevils,Amit Mishra,Bowler,3.50,2015
 Mumbai Indians,Aaron Finch,Batsman,3.20,2015
 Kings XI Punjab,Murali Vijay,Batsman,3.00,2015
 Royal Challengers Bangalore,Yuvraj Singh,All-Rounder,14.00,2014
 Delhi Daredevils,Dinesh Karthik,Wicket Keeper,12.50,2014
 Delhi Daredevils,Kevin Pietersen,Batsman,9.00,2014
 Kings XI Punjab,Mitchell Johnson,All-Rounder,6.50,2014
 Kings XI Punjab,Glenn Maxwell,All-Rounder,6.00,2014
 Kolkata Knight Riders,Jacques Kallis,All-Rounder,5.50,2014
 Sunrisers Hyderabad,David Warner,Batsman,5.50,2014
 Kolkata Knight Riders,Robin Uthappa,Batsman,5.00,2014
